,formula_label,symbol_set,subject
0,'t Hooft–Polyakov monopole,"{i, H}",Gauge theories
1,"(2,1)-Pascal triangle","{y, x, n}",Life sciences
2,1 + 1 + 1 + 1 + …,"{n, ∞}",
3,1 + 2 + 3 + 4 + …,"{n, ∞}",
4,1 + 2 + 4 + 8 + …,"{n, ∞}",
5,1 − 1 + 2 − 6 + 24 − 120 + ⋯,"{n, ∞}",
6,1 − 2 + 3 − 4 + · · ·,"{∞, n}",
7,1 − 2 + 4 − 8 + …,"{k, ∞, n}",
8,2-group,"{Π, x, X, π}",Fields of mathematics
9,2-sided,"{h, M, F}",Fields of mathematics
10,24-cell honeycomb,{π},Life sciences
11,277,"{x, sec}",Fields of history
12,3-manifold,"{S, T}",Fields of mathematics
13,6₃ knot,{σ},
14,7₁ knot,"{Δ, t}",Fields of mathematics
15,88 Aquarii,"{i, X, k, Z, σ}",Society
16,ADE classification,"{A, E, D, n}",Fields of mathematics
17,ANF,"{e, g, f, h, n, r, w, x}",
18,ARGUS distribution,"{c, r, M, G}",Life sciences
19,ASC CDL,"{i, o, p, s, u, t}",People
20,Abel–Ruffini theorem,"{a, x, c, b}",Fields of mathematics
21,Abraham–Minkowski controversy,"{c, h, M, n, p, ν}",Hermann Minkowski
22,Absolute Galois group,"{lim, Z, n}",Fields of mathematics
23,Absolute presentation of a group,"{S, R, G}",Fields of mathematics
24,Absolutely integrable function,{f},Physical sciences
25,Accelerator effect,"{I, x, K, d, n}",Applied sciences
26,Acceptance set,"{A, t, T, V}",Fields of mathematics
27,Accumulation function,"{A, a, k, t}",Fields of mathematics
28,Acid value,"{A, b, e, i, l, o, N, q, W, V}",Life sciences
29,Ackermann function,"{A, m, n}",Fields of mathematics
30,Acoustic ohm,"{a, P, s, m, Ω}",Subfields of physics
31,Acousto-optic modulator,"{F, m, f}",Glass engineering and science
32,Action angle coordinates,"{a, ∀, k, n, φ}",Physical sciences
33,Actuarial notation,"{i, v}",Fields of mathematics
34,Actuarial present value,"{e, i, T, v, Z, δ}",Fields of mathematics
35,Acutance,"{A, n, D, G, N}",Applied sciences
36,Adams operation,"{χ, k, ρ, g, ψ}",Fields of mathematics
37,Adaptive Simpson's method,"{a, c, b, ϵ, S}",Physical sciences
38,Adaptive quadrature,"{a, Q, b, x, f}",Physical sciences
