 "i" , "cLabel" , "sLabel" ,
 "http://dbpedia.org/resource/15_and_290_theorems" , "theorem" , "Theorems in number theory" ,
 "http://dbpedia.org/resource/2-factor_theorem" , "theorem" , "Theorems in graph theory" ,
 "http://dbpedia.org/resource/2π_theorem" , "theorem" , "Theorems in geometry" ,
 "http://dbpedia.org/resource/AF+BG_theorem" , "theorem" , "Theorems in algebraic geometry --- Theorems in complex geometry" ,
 "http://dbpedia.org/resource/ATS_theorem" , "theorem" , "Theorems in analysis" ,
 "http://dbpedia.org/resource/Abel's_binomial_theorem" , "theorem" , "Theorems in algebra" ,
 "http://dbpedia.org/resource/Abel's_identity" , "theorem" , "Mathematical identities" ,
 "http://dbpedia.org/resource/Abel's_inequality" , "theorem" , "Inequalities" ,
 "http://dbpedia.org/resource/Abel's_theorem" , "theorem" , "Theorems in complex analysis --- Theorems in real analysis" ,
 "http://dbpedia.org/resource/Abelian_and_tauberian_theorems" , "theorem" , "Tauberian theorems" ,
 "http://dbpedia.org/resource/Abel–Ruffini_theorem" , "theorem" , "Theorems in algebra" ,
 "http://dbpedia.org/resource/Abhyankar's_conjecture" , "theorem" , "Conjectures which were proven --- Theorems in abstract algebra" ,
 "http://dbpedia.org/resource/Abhyankar's_inequality" , "theorem" , "Theorems in abstract algebra" ,
 "http://dbpedia.org/resource/Abhyankar's_lemma" , "lemma --- military structure" , "Lemmas --- Theorems in abstract algebra --- Theorems in algebraic geometry" ,
 "http://dbpedia.org/resource/Abhyankar–Moh_theorem" , "theorem" , "Theorems in algebraic geometry" ,
 "http://dbpedia.org/resource/Abouabdillah's_theorem" , "theorem" , "Theorems in geometry --- Theorems in number theory" ,
 "http://dbpedia.org/resource/Absorption_(logic)" , "rule of inference --- theorem" , "Theorems in propositional logic" ,
 "http://dbpedia.org/resource/Absorption_law" , "theorem" , "Theorems in propositional logic" ,
 "http://dbpedia.org/resource/Acyclic_model" , "theorem" , "Theorems in algebraic topology" ,
 "http://dbpedia.org/resource/Addition_theorem" , "agent --- theorem" , "Theorems in algebra --- Theorems in algebraic geometry" ,
 "http://dbpedia.org/resource/Adiabatic_theorem" , "theorem" , "Theorems in quantum physics" ,
 "http://dbpedia.org/resource/Ado's_theorem" , "theorem" , "Theorems in abstract algebra" ,
 "http://dbpedia.org/resource/Agmon's_inequality" , "inequality --- theorem" , "Inequalities --- Theorems in analysis" ,
 "http://dbpedia.org/resource/Agranovich–Dynin_formula" , "agent" , "Theorems in analysis" ,
 "http://dbpedia.org/resource/Ahlswede–Daykin_inequality" , "theorem" , "Inequalities" ,
 "http://dbpedia.org/resource/Akhiezer's_theorem" , "theorem" , "Theorems in complex analysis" ,
 "http://dbpedia.org/resource/Akra–Bazzi_method" , "theorem" , "Theorems in discrete mathematics" ,
 "http://dbpedia.org/resource/Albert–Brauer–Hasse–Noether_theorem" , "theorem" , "Theorems in algebraic number theory" ,
 "http://dbpedia.org/resource/Alexandrov's_uniqueness_theorem" , "theorem" , "Theorems in convex geometry --- Theorems in discrete geometry" ,
 "http://dbpedia.org/resource/Alexandrov_theorem" , "programming language --- theorem" , "Theorems in measure theory" ,
 "http://dbpedia.org/resource/Algorithmic_Lovász_local_lemma" , "theorem" , "Lemmas --- Probability theorems" ,
 "http://dbpedia.org/resource/Almgren_regularity_theorem" , "theorem" , "Theorems in geometry --- Theorems in measure theory" ,
 "http://dbpedia.org/resource/Alperin–Brauer–Gorenstein_theorem" , "theorem" , "Theorems in group theory" ,
 "http://dbpedia.org/resource/Amitsur–Levitzki_theorem" , "theorem" , "Theorems in algebra" ,
 "http://dbpedia.org/resource/Analyst's_traveling_salesman_theorem" , "theorem" , "Theorems in discrete mathematics" ,
 "http://dbpedia.org/resource/Analytic_Fredholm_theorem" , "theorem" , "Theorems in complex analysis --- Theorems in functional analysis" ,
 "http://dbpedia.org/resource/Analyticity_of_holomorphic_functions" , "theorem" , "Theorems in complex analysis" ,
 "http://dbpedia.org/resource/Anderson's_theorem" , "theorem" , "Probability theorems --- Theorems in geometry --- Theorems in real analysis" ,
