,formula_label,symbol_set,subject
0,'t Hooft–Polyakov monopole,"{i, H, ,, ), (, =}",Physical sciences
1,"(2,1)-Pascal triangle","{), (, +, n, y, x, −}",Life sciences
8,2-group,"{Π, (, ,, π, ), X, x, ., =}",Life sciences
9,2-sided,"{−, ×, F, h, M, ,, →, [, :, ]}",Life sciences
10,24-cell honeycomb,"{≅, π}",Life sciences
11,277,"{+, ⋯, sec, ⁡, x, =}",Humanities
12,3-manifold,"{×, S, =, T}",Life sciences
13,353,"{+, =}",Humanities
16,7₁ knot,"{), (, +, =, ,, t, −, Δ}",Life sciences
17,88 Aquarii,"{i, (, k, σ, ), ∑, X, Z, =}",Society
18,ADE classification,"{A, ,, E, D, n}",Life sciences
20,API gravity,"{−, =}",Environmental studies
21,ARGUS distribution,"{=, c, r, M, G}",Life sciences
23,Abel–Ruffini theorem,"{a, c, b, ±, x, −, =}",Life sciences
25,Absolute Galois group,"{lim, /, n, ←, ⁡, Z, =, ^}",Life sciences
26,Absolute presentation of a group,"{⟨, ⟩, G, ∣, ≃, S, R}",Life sciences
27,Absolutely integrable function,"{∫, f, +, −, =, |}",Physical sciences
28,Accelerator effect,"{d, I, (, K, n, ), x, −, =}",Applied sciences
29,Acceptance set,"{A, ), (, }, t, V, {, −, =, T}",Life sciences
30,Accounting rate of return,{=},Professional studies
31,Accumulation function,"{A, a, ⋅, ), (, k, t, =}",Life sciences
32,Acid value,"{A, b, e, i, (, l, o, N, q, ), W, V, −, =}",Life sciences
33,Ackermann function,"{A, None, ), (, +, m, ,, n, {, −, =, >}",Life sciences
34,Acoustic ohm,"{a, ⋅, Ω, m, P, s, =}",Physical sciences
36,Action angle coordinates,"{a, ), ∀, k, n, (, φ, <}",Physical sciences
37,Actuarial notation,"{≈, i, (, +, ), v, −, =}",Life sciences
38,Actuarial present value,"{−, e, i, (, +, =, ), T, v, Z, δ}",Life sciences
39,Acutance,"{A, −, D, G, ), (, n, ∑, N, =}",Applied sciences
40,Adams operation,"{g, ψ, χ, (, k, ρ, ), =}",Life sciences
41,Adaptive Simpson's method,"{a, c, b, ), (, +, ,, /, |, S, ϵ, −, <}",Physical sciences
42,Adaptive quadrature,"{a, ∫, b, ≈, f, ), (, Q, x}",Physical sciences
43,Added mass,"{c, D, F, ), (, v, ρ, p, u, t, V, −, =, d}",Physical sciences
44,Additive model,"{), E, f, i, (, +, j, ], ,, |, p, …, y, x, β, =, [, ∑}",Applied sciences
45,Additive state decomposition,"{P, +, ⊕, n, p, s, =}",Life sciences
46,Adiabatic theorem,"{ψ, ), (, ,, ≠, t, x, |}",Life sciences
47,Adjoint filter,"{), h, k, ¯, (, −, =, ∗}",Applied sciences
48,Adjunction formula,"{Ω, I, i, /, →, Y, X, ∗}",Life sciences
49,Affine combination,"{⋅, i, +, ⋯, n, α, ∑, x, =}",Life sciences
50,Affine hull,"{∈, i, =, aff, ⁡, ,, |, ), S, R, (, x, ∑, α, {, }, k, >}",Life sciences
51,Affine involution,"{I, A, ), =, (}",Life sciences
52,Affine monoid,"{M, +, ⋯, m, n, Z, =}",Life sciences
53,Affine q-Krawtchouk polynomials,"{A, −, :=, f, ), (, K, ,, n, q, p, x, ϕ, N, ;}",Life sciences
54,Affine term structure model,"{A, B, I, k, M, ρ, N, U, =}",Life sciences
55,Aggregate modulus,"{⁡, ∏, g, G, ), (, j, det, ,, n, P, r, …, x, X, =, deg}",Life sciences
56,Agoh–Giuga conjecture,"{B, ), (, ≡, p, −, mod}",Life sciences
57,Air flow bench,"{H, =, d, /, V}",Applied sciences
58,Air-to-cloth ratio,"{A, Δ, V, /, t, v, =}",Professional studies
59,Airborne particulate radioactivity monitoring,"{∥, +, =, v}",Society
60,Akbulut cork,"{A, int, ×, K, ≅, M, ,, ), W, (, [, ], ∖}",Life sciences
61,Albers projection,"{ρ, θ, ⁡, x, =, sin}",Society
62,Aleksandrov–Clark measure,"{C, D, ), (, ,, H}",Life sciences
63,Alexander's trick,"{None, f, ), (, ≤, J, ∥, ,, /, t, x, {, =, <}",Life sciences
64,Alexander–Spanier cohomology,"{), d, f, i, (, +, ,, p, …, ∑, x, −, =}",Life sciences
65,Algebraic character,"{dim, c, e, ), h, ⁡, μ, (, V, ∑, =}",Life sciences
66,Allan variance,"{y, ), τ, σ, (}",Applied sciences
67,Almost convergent sequence,"{p, lim, +, …, L, n, →, ∞, x, −, =}",Life sciences
68,Alpha process,"{A, ¯, i, (, j, ), =, ∗}",Physical sciences
69,Alternating sign matrix,"{⟨, ⟩, ), (, j, m, l, ,, s, μ, z, =, |}",Life sciences
70,Amitsur–Levitzki theorem,"{∈, ), (, ⋯, σ, ,, n, S, …, ∑, x, =}",Life sciences
71,Ampère's circuital law,"{+, J, =}",Physical sciences
73,Andreotti–Norguet formula,"{⋯, f, ∂, n, α, z, =, |}",Life sciences
